method,latency_ns
psn_fixed,67.22
psn_fixed,70.35
psn_fixed,70.35
psn_fixed,68.00
psn_fixed,71.91
psn_fixed,68.78
psn_fixed,1273.26
psn_fixed,87.54
psn_fixed,84.42
psn_fixed,80.51
psn_fixed,82.07
psn_fixed,81.29
psn_fixed,82.07
psn_fixed,236.83
psn_fixed,78.16
psn_fixed,78.94
psn_fixed,77.38
psn_fixed,75.82
psn_fixed,78.16
psn_fixed,79.73
psn_fixed,74.25
psn_fixed,77.38
psn_fixed,75.82
psn_fixed,82.85
psn_fixed,75.82
psn_fixed,75.82
psn_fixed,75.82
psn_fixed,76.60
psn_fixed,71.91
psn_fixed,73.47
psn_fixed,69.56
psn_fixed,72.69
psn_fixed,200.10
psn_fixed,74.26
psn_fixed,72.69
psn_fixed,74.26
psn_fixed,72.69
psn_fixed,68.00
psn_fixed,71.13
psn_fixed,68.00
psn_fixed,67.22
psn_fixed,193.06
psn_fixed,66.44
psn_fixed,66.44
psn_fixed,68.00
psn_fixed,64.88
psn_fixed,67.22
psn_fixed,67.22
psn_fixed,67.22
psn_fixed,64.87
psn_fixed,163.36
psn_fixed,64.87
psn_fixed,64.09
psn_fixed,65.65
psn_fixed,63.31
psn_fixed,64.09
psn_fixed,64.09
psn_fixed,63.31
psn_fixed,64.09
psn_fixed,69.56
psn_fixed,64.87
psn_fixed,62.53
psn_fixed,62.53
psn_fixed,63.31
psn_fixed,62.53
psn_fixed,63.31
psn_fixed,63.31
psn_fixed,62.53
psn_fixed,62.53
psn_fixed,62.53
psn_fixed,63.31
psn_fixed,63.31
psn_fixed,64.09
psn_fixed,69.57
psn_fixed,63.31
psn_fixed,62.53
psn_fixed,62.53
psn_fixed,67.22
psn_fixed,63.31
psn_fixed,65.66
psn_fixed,61.75
psn_fixed,65.65
psn_fixed,62.53
psn_fixed,62.53
psn_fixed,71.91
psn_fixed,63.31
psn_fixed,63.31
psn_fixed,61.75
psn_fixed,60.19
psn_fixed,63.31
psn_fixed,60.97
psn_fixed,62.53
psn_fixed,60.97
psn_fixed,64.09
psn_fixed,61.75
psn_fixed,62.53
psn_fixed,61.75
psn_fixed,59.40
psn_fixed,60.97
psn_fixed,60.19
psn_fixed,59.40
psn_fixed,60.97
psn_fixed,59.40
psn_fixed,57.84
psn_fixed,60.97
psn_fixed,59.40
psn_fixed,65.66
psn_fixed,60.19
psn_fixed,61.75
psn_fixed,150.86
psn_fixed,61.75
psn_fixed,89.10
psn_fixed,61.75
psn_fixed,60.19
psn_fixed,60.97
psn_fixed,61.75
psn_fixed,59.40
psn_fixed,61.75
psn_fixed,58.62
psn_fixed,60.19
psn_fixed,59.40
psn_fixed,57.84
psn_fixed,3772.12
psn_fixed,65.65
psn_fixed,65.65
psn_fixed,62.53
psn_fixed,59.40
psn_fixed,60.19
psn_fixed,63.31
psn_fixed,62.53
psn_fixed,59.40
psn_fixed,60.19
psn_fixed,60.97
