# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy 全过程)
# reorder: 0=仅取包; 1=取包前先把 PSN 集升序整理(仅 SR; GBN 输出天然有序故恒 0)
# N=缓存深度(工作集条数); dynblock 环固定 10240 存 N 条(Φ 位置索引 O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(VM ~2ms 调度停顿污染 ~1% 批次, 不可用)
# floor(空批,读钟/B): B=512 median=7.228 ns/op; B=32(xval) median=115.636 ns/op
method,mode,N,payload,B,n_batches,reps,reorder,mean_ns,std_ns,p50_ns,p90_ns,p99_ns
chained_hash_bounded,sr_64,4096,1024,512,32,5,0,2500.220,415.815,2406.326,2772.969,4853.282
chained_hash_bounded,sr_64,4096,1024,512,32,5,1,3536.645,320.461,3499.028,3813.321,4988.844
balanced_tree_bounded,sr_64,4096,1024,512,32,5,0,5117.648,693.478,4969.896,5738.343,7790.527
balanced_tree_bounded,sr_64,4096,1024,512,32,5,1,6406.046,1824.555,5706.112,8507.014,12559.034
psn_dynblock,sr_64,4096,1024,512,32,5,0,2466.896,680.363,2324.285,2714.369,4840.976
psn_dynblock,sr_64,4096,1024,512,32,5,1,3601.784,584.060,3442.771,4173.713,5802.413
psn_dynblock_adaptive,sr_64,4096,1024,512,32,5,0,2495.340,442.874,2377.807,3095.857,4369.828
psn_dynblock_adaptive,sr_64,4096,1024,512,32,5,1,3994.192,1479.179,3565.636,5630.518,9953.857
index_only,sr_64,4096,1024,512,32,5,0,366.786,326.617,290.267,426.611,2156.688
index_only,sr_64,4096,1024,512,32,5,1,1444.708,222.186,1432.389,1587.288,2220.954
fifo_bounded,gbn_long64,8192,1024,512,32,5,0,455359.115,18121.337,454111.189,477512.656,501219.238
chained_hash_bounded,gbn_long64,8192,1024,512,32,5,0,2267.752,365.037,2204.546,2578.415,3890.478
balanced_tree_bounded,gbn_long64,8192,1024,512,32,5,0,3223.633,878.297,3093.709,3830.706,6461.666
psn_dynblock,gbn_long64,8192,1024,512,32,5,0,2929.676,2028.053,2152.391,5022.833,11997.643
psn_dynblock_adaptive,gbn_long64,8192,1024,512,32,5,0,1971.697,196.757,1936.936,2185.989,2883.919
index_only,gbn_long64,8192,1024,512,32,5,0,288.581,53.903,270.343,373.480,492.828
fifo_bounded,gbn_short8,8192,1024,512,32,5,0,52873.830,3246.152,52695.789,56584.313,61905.029
chained_hash_bounded,gbn_short8,8192,1024,512,32,5,0,295.625,84.707,268.585,387.739,713.166
balanced_tree_bounded,gbn_short8,8192,1024,512,32,5,0,536.794,129.001,500.447,659.059,1030.975
psn_dynblock,gbn_short8,8192,1024,512,32,5,0,260.474,110.820,211.157,385.200,791.300
psn_dynblock_adaptive,gbn_short8,8192,1024,512,32,5,0,250.141,188.331,215.454,328.162,475.445
index_only,gbn_short8,8192,1024,512,32,5,0,42.082,26.191,36.137,43.365,211.938
fifo_bounded,sr_16,8192,1024,512,32,5,0,108956.940,6965.394,108453.249,115369.655,128163.872
